Coluna;Tipo;Descrição
NUMERODO;text;Número da DO, seqüencial por UF informante e por ano
TIPOBITO;int8;Tipo do óbito:1: óbito fetal2: óbito não fetal
def_tipo_obito;text;Tipo de óbito (Nominal, com as seguintes classificações: Fetal e Não Fetal)
DTOBITO;text;Data do óbito, no formato ddmmaaaa
data_obito;date;Data de ocorrência do óbito
ano_obito;int8;Ano do óbito
dia_semana_obito;text;Dia da semana em que ocorreu o óbito
NATURAL;int8;Naturalidade, conforme a tabela de países. Se for brasileiro,porém, o primeiro dígito contém 8 e os demais o código daUF de naturalidade
DTNASC;text;Data de nascimento do falecido no formato ddmmaaaa
data_nasc;date;Data de nascimento
idade_obito_calculado;int8;Idade do óbito calculado utilizando a data de óbito e a data denascimento
ano_nasc;int8;Ano do nascimento
dia_semana_nasc;text;Dia da semana em que ocorreu o nascimento
IDADE;int4;Idade, composto de dois subcampos. O primeiro, de 1dígito, indica a unidade da idade, conforme a tabela aseguir. O segundo, de dois dígitos, indica a quantidade deunidades:0: Idade ignorada, o segundo subcampo e1: Horas, o segundo subcampo varia de 01 a 232: Dias, o segundo subcampo varia de 01 a 293: Meses, o segundo subcampo varia de 01 a 114: Anos, o segundo subcampo varia de 00 a 995: Anos (mais de 100 anos), o segundo subcampo varia de0 a 99, exemplos:000: Idade ignorada020: 20 minutos103: 3 horas204: 4 dias305: 5 meses400: menor de 1 ano, mas não se sabe o numero de horas,dias ou meses410: 10 anos505: 105 anos
idade_obito_anos;int8;Idade do óbito (em anos) informada na declaração de óbito
idade_obito_meses;int8;Idade do óbito (em meses) informada na declaração de óbito
idade_obito_dias;int8;Idade do óbito (em dias) informada na declaração de óbito
idade_obito_horas;int8;Idade do óbito (em horas) informada na declaração de óbito
idade_obito_mins;int8;Idade do óbito (em minutos) informada na declaração de óbito
SEXO;int8;Sexo, conforme a tabela:0: Ignorado1: Masculino2: Feminino
def_sexo;text;"Sexo (Nominal, com as seguintes classificações: Masculino; Feminino; Ignorado)"
RACACOR;int8;Raça/Cor:1: Branca2: Preta3: Amarela4: Parda5: Indígena
def_raca_cor;text;"Raça/cor (Nominal, com as seguintes classificações: Branca; Preta; Amarela; Parda; Indígena)"
ESTCIV;int8;Estado civil, conforme a tabela:1: Solteiro2: Casado3: Viúvo4: Separado judicialmente5: União consensual (versões anteriores)9: Ignorado
def_est_civil;text;"Estado civil (Nominal, com as seguintes classificações: Solteiro;Casado; Viúvo; Separado Judicialmente/divorciado; União Estável;Ignorado)"
ESC;int8;Escolaridade, Anos de estudo concluídos:1: Nenhuma2: 1 a 3 anos3: 4 a 7 anos4: 8 a 11 anos5: 12 e mais9: Ignorado
def_escol;text;"Escolaridade (Nominal, com as seguintes classificações: Nenhuma; de 1 a 3 anos; de 4 a 7 anos; de 8 a 11 anos; 12 e mais; Ignorado)"
OCUP;int8;Ocupação, conforme a Classificação Brasileira deOcupações (CBO-2002)
CODBAIRES;text;Código do Bairro de residência
CODMUNRES;int8;Município de residência do falecido, conforme códigos IBGE
LOCOCOR;int8;Local de ocorrência do óbito, conforme a tabela:9: Ignorado1: Hospital2: Outro estab saúde3: Domicílio4: Via Pública5: Outros
def_loc_ocor;text;"Local de ocorrência do óbito (Nominal, com as seguintes classificações: Hospital; Outros estabelecimentos de saúde; Domicílio; Via pública; Outros; Ignorado)"
CODMUNOCOR;int8;Município de ocorrência do óbito, conforme códigos IBGE
IDADEMAE;int8;Idade da mãe em anos
ESCMAE;int8;Escolaridade da mãe, Anos de estudo concluídos:1: Nenhuma2: 1 a 3 anos3: 4 a 7 anos4: 8 a 11 anos5: 12 e mais9: Ignorado
def_escol_mae;text;"Escolaridade da mãe (Nominal, com as seguintes classificações: Nenhuma; de 1 a 3 anos; de 4 a 7 anos; de 8 a 11 anos; 12 e mais; Ignorado)"
OCUPMAE;int8;Ocupação da mãe, conforme codificação de OCUPAÇÃO
QTDFILVIVO;int8;Número de filhos vivos
QTDFILMORT;int8;Número de filhos mortos, ignorados, não incluindo opróprio
GRAVIDEZ;int8;Tipo de gravidez, conforme a tabela:9: Ignorado1: Única2: Dupla3: Tripla e mais
def_gravidez;text;"Tipo de gravidez (Nominal, com as seguintes classificações: Única; Dupla; Tripla e mais; Ignorada)"
